timestamp,strategy,reason,fill_side,quantity,price,trade_price,trade_size,trade_side,inventory_after,cash_after,transaction_hash
2026-06-08T04:57:06.284000Z,momentum_taker,mid_delta=0.055000,BUY,10.0,0.3,,,,10.0,-3.0,
2026-06-08T06:02:24.738000Z,momentum_taker,mid_delta=0.045000,BUY,10.0,0.34,,,,20.0,-6.4,
2026-06-08T07:08:36.434000Z,momentum_taker,mid_delta=-0.035000,SELL,10.0,0.3,,,,10.0,-3.4000000000000004,
2026-06-08T11:43:19.785000Z,momentum_taker,mid_delta=-0.040000,SELL,10.0,0.26,,,,0.0,-0.8000000000000003,
2026-06-08T15:29:11.173000Z,momentum_taker,mid_delta=0.035000,BUY,10.0,0.36,,,,10.0,-4.4,
2026-06-09T02:53:40.834000Z,momentum_taker,mid_delta=-0.030000,SELL,10.0,0.3,,,,0.0,-1.4000000000000004,
2026-06-09T07:31:19.145000Z,momentum_taker,mid_delta=0.035000,BUY,10.0,0.39,,,,10.0,-5.300000000000001,
2026-06-09T13:33:13.079000Z,momentum_taker,mid_delta=0.070000,BUY,10.0,0.5,,,,20.0,-10.3,
2026-06-09T13:43:21.737000Z,momentum_taker,mid_delta=-0.035000,SELL,10.0,0.42,,,,10.0,-6.1000000000000005,
2026-06-09T13:53:22.363000Z,momentum_taker,mid_delta=0.055000,BUY,10.0,0.51,,,,20.0,-11.2,
2026-06-09T16:38:56.045000Z,momentum_taker,mid_delta=0.050000,BUY,10.0,0.5,,,,30.0,-16.2,
2026-06-10T01:40:25.920000Z,momentum_taker,mid_delta=0.105000,BUY,10.0,0.5,,,,40.0,-21.2,
2026-06-10T03:56:01.120000Z,momentum_taker,mid_delta=0.040000,BUY,10.0,0.53,,,,50.0,-26.5,
2026-06-10T04:37:29.896000Z,momentum_taker,mid_delta=0.050000,BUY,10.0,0.57,,,,60.0,-32.2,
2026-06-10T04:42:30.165000Z,momentum_taker,mid_delta=0.030000,BUY,10.0,0.6,,,,70.0,-38.2,
2026-06-10T04:47:30.425000Z,momentum_taker,mid_delta=0.055000,BUY,10.0,0.66,,,,80.0,-44.800000000000004,
2026-06-10T04:57:31.137000Z,momentum_taker,mid_delta=0.030000,BUY,10.0,0.7,,,,90.0,-51.800000000000004,
2026-06-10T05:09:14.111000Z,momentum_taker,mid_delta=-0.070000,SELL,10.0,0.58,,,,80.0,-46.00000000000001,
2026-06-10T05:14:14.388000Z,momentum_taker,mid_delta=-0.040000,SELL,10.0,0.57,,,,70.0,-40.30000000000001,
2026-06-10T05:24:14.622000Z,momentum_taker,mid_delta=0.055000,BUY,10.0,0.66,,,,80.0,-46.90000000000001,
2026-06-10T05:29:14.920000Z,momentum_taker,mid_delta=0.075000,BUY,10.0,0.76,,,,90.0,-54.500000000000014,
2026-06-10T05:34:15.443000Z,momentum_taker,mid_delta=0.100000,BUY,10.0,0.84,,,,100.0,-62.90000000000001,
2026-06-10T05:49:17.401000Z,momentum_taker,mid_delta=-0.085000,SELL,10.0,0.72,,,,90.0,-55.70000000000002,
2026-06-10T05:54:17.723000Z,momentum_taker,mid_delta=0.070000,BUY,10.0,0.84,,,,100.0,-64.10000000000002,
